Table: x | T_exact | T_orig | T_corr | err_orig | err_corr
0.00 | 3.803870 | -0.041843 | 3.423483 | 3.845713e+00 | 3.803870e-01
0.10 | 3.765832 | -0.041082 | 3.423483 | 3.806913e+00 | 3.423483e-01
0.20 | 3.651715 | -0.039560 | 3.347406 | 3.691276e+00 | 3.043096e-01
0.30 | 3.461522 | -0.037278 | 3.195251 | 3.498800e+00 | 2.662709e-01
0.40 | 3.195251 | -0.034235 | 2.967019 | 3.229486e+00 | 2.282322e-01
0.50 | 2.852903 | -0.030431 | 2.662709 | 2.883334e+00 | 1.901935e-01
0.60 | 2.434477 | -0.025866 | 2.282322 | 2.460343e+00 | 1.521548e-01
0.70 | 1.939974 | -0.020541 | 1.825858 | 1.960515e+00 | 1.141161e-01
0.80 | 1.369393 | -0.014455 | 1.293316 | 1.383848e+00 | 7.607741e-02
0.90 | 0.722735 | -0.007608 | 0.684697 | 7.303431e-01 | 3.803870e-02
1.00 | 0.000000 | 0.000000 | 0.000000 | 0.000000e+00 | 0.000000e+00
